v1;v2;v3;Vraag1;Vraag2;Vraag3;Vraag4;Vraag5;Vraag6;Vraag7;Vraag8;Vraag9;Vraag10;Vraag11;Vraag12;Vraag13;Vraag14;Vraag15;Vraag16;Vraag17;Vraag18;Vraag19;Vraag20;Vraag21;Vraag22;Vraag23;Vraag24;Vraag25;Vraag26;Vraag27;Vraag28;Vraag29;Vraag30;Vraag31;Vraag32;Vraag33;Vraag34;Vraag35;Vraag36;Vraag37;Vraag38;Vraag39;Vraag40;Vraag41;Vraag42;Vraag43;Vraag44;Vraag45;Vraag46;Vraag47;Vraag48;Vraag49;Vraag50;Vraag51;Vraag52;Vraag53;Vraag54;Vraag55;Vraag56
Vanuit mijn rol binnen een opleiding.;Omgangskunde;Instituut Archimedes;1;2;2;2;2;2;2;1;2;1;1;2;7;2;2;4;2;2;2;2;2;6;2;4;1;2;7;2;2;6;4;4;4;7;7;7;7;6;2;6;6;2;4;6;6;6;6;2;6;2;4;6;2;6;6;6
Vanuit mijn rol binnen een ondersteunende dienst.;HR Beleid;Dienst Human Resources;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;7;1;1;2;1;2;1;2;4;1;2;2;2;4;7;7;2;1;2;2;2;2;1;2;1;2;4;3;2;2;4;4;2;7;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;HBO-ICT Breed;​Institute for Information & Communication Technology;1;2;2;2;2;2;2;2;1;1;1;7;7;7;7;7;7;7;7;7;2;7;7;1;1;2;7;7;7;7;7;7;7;7;7;7;7;2;7;7;7;7;7;7;2;2;7;7;7;7;7;2;2;2;3;3
Vanuit mijn rol binnen een opleiding.;Team Life Sciences 1;Institute for Life Sciences & Chemistry;1;2;3;1;2;1;2;1;2;1;1;2;1;1;1;1;1;1;2;1;2;3;2;2;2;1;1;2;2;1;3;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;1;2
Vanuit mijn rol binnen een opleiding.;Engels;Instituut Archimedes;1;2;2;8;8;8;1;8;8;1;8;8;8;1;8;8;8;8;8;1;8;8;8;8;1;8;8;8;1;8;8;8;8;1;8;8;8;8;1;8;8;8;8;8;2;8;8;8;8;1;8;1;8;8;8;8
Vanuit mijn rol binnen een lectoraat / kenniscentrum.;Projectbureau L&I;Kenniscentrum Leren en Innoveren;3;2;2;1;1;2;2;2;3;2;1;7;7;2;2;2;2;2;2;2;2;3;2;2;1;3;7;3;2;2;2;2;2;7;7;7;7;7;2;2;2;2;6;2;6;6;6;2;2;2;2;2;2;2;2;2
Vanuit mijn rol binnen een opleiding.;Nederlands;Instituut Archimedes;1;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;3;3;2;2;3;2;2;2;2;3;3;2;3;4
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT BB Cloud Services;Dienst Informatiemanagement & ICT;2;2;5;4;4;2;3;3;1;1;1;1;3;2;3;3;3;4;3;2;2;2;2;1;1;1;1;1;3;3;2;2;1;4;5;4;4;4;2;4;2;3;2;3;2;4;4;4;4;1;3;3;3;4;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT PT Onderwijs;Dienst Informatiemanagement & ICT;2;2;2;2;2;1;2;1;2;1;3;2;2;2;2;2;2;1;1;2;1;1;2;3;2;1;1;2;2;2;2;4;2;1;2;3;2;2;2;4;2;1;4;2;4;3;3;1;7;1;1;3;2;2;4;4
Vanuit mijn rol binnen een ondersteunende dienst.;IM&ICT PT Bedrijfsvoering;Dienst Informatiemanagement & ICT;2;2;2;2;2;2;2;1;2;2;3;2;2;2;3;3;7;3;3;3;2;2;2;2;2;2;2;2;6;6;7;7;2;2;3;2;2;2;2;3;2;2;7;7;3;2;3;2;3;2;2;4;3;3;4;4
